circ_id	circ_name	logFC	logCPM	LR	PValue	DE	FDR
1:106923369|106926988	sus_circNARS1_12	3.99754900789533	-3.82588515291098	18.168955767012	2.02147242638351e-05	1	0.0233692073331039
1:109970586|109980151	sus_circVPS13C_17	3.97145772667826	-3.83081643939524	17.9533235897495	2.26388768935935e-05	1	0.0255485115952987
1:230259235|230273337	sus_circVPS13A_143	3.77387011132369	-2.92338044273118	20.8073417623958	5.0787898021513e-06	1	0.00802414930141225
1:39426717|39441609	sus_circTRDN_30	4.45358766686927	-3.4804468161553	23.5012542621697	1.24832359988314e-06	1	0.00319827253985196
1:77263699|77270404	sus_circREV3L_49	-3.68216918912729	-3.07187389552785	18.4079408830083	1.78313331880848e-05	-1	0.0219524553363336
1:82875117|82891579	sus_circME1_14	4.11432119461335	-2.41915752286582	25.1276351790212	5.36583544117626e-07	1	0.00169553245493915
13:146263456|146274001	sus_circUSF3_8	-3.18235084703848	-2.07544376446827	16.9417018000459	3.85454392323844e-05	-1	0.0376696232729187
14:132504593|132508884	sus_circENSSSCG00000023865_2	3.65344962963548	-3.25144799713696	18.8752586260808	1.39550925109723e-05	1	0.0184030787504752
14:7352555|7366524	sus_circENSSSCG00000045477,ENSSSCG00000009633_4	4.49704160772744	-4.03349133949962	19.6166898043162	9.46388808493598e-06	1	0.0138021343830706
15:112808098|112844349	sus_circKANSL1L_24	3.71604341824569	-3.801462377833	16.4943596723796	4.87950156413394e-05	1	0.0440530695498705
15:743708|745925	sus_circNEB_252	3.6321663278136	-2.85259062338971	19.8887948411434	8.20800030525454e-06	1	0.0123505650307446
15:84354981|84367087	sus_circ15:84354981|84367087	4.21527771271247	-4.22128371681138	16.5088125344071	4.84244814799762e-05	1	0.0440530695498705
15:84365150|84367087	sus_circ15:84365150|84367087	4.25065151285393	-1.14434159528454	28.8162269133281	7.95815557584018e-08	1	0.00039705332419334
15:84370578|84376623	sus_circ15:84370578|84376623	3.29070652004003	-3.0418206239617	16.6696382473133	4.44873460049395e-05	1	0.0409439072998471
2:102600361|102607285	sus_circENSSSCG00000048636_2	5.04852940446589	-3.27925752930933	28.9150186759097	7.56242705202207e-08	1	0.00039705332419334
2:118773810|118774228	sus_circKCNN2_8	-3.98698109888928	-2.71057245857503	21.9999997162875	2.72650505918607e-06	-1	0.00528677651962106
2:42572532|42573733	sus_circSOX6_17	4.27441495028934	-3.59422870230822	21.3670488398179	3.79233280279499e-06	1	0.00624381242287702
2:88184110|88201577	sus_circHOMER1_18	5.02078344932638	-3.31829192802417	28.5748640741805	9.01448051720905e-08	1	0.000411502349716972
2:88196738|88206327	sus_circHOMER1_26	3.69190299147402	-2.39656235730568	21.4359673344648	3.65843641453419e-06	1	0.00624381242287702
4:125831440|125853740	sus_circZNF644_40	4.49078892353462	-3.0214338486883	26.2540312249184	2.99329343809295e-07	1	0.00109135478752869
6:129756751|129757239	sus_circTTLL7_3	3.69875142171993	-1.93295650054388	22.3384814498787	2.28579948035523e-06	1	0.00481521438977232
6:55288560|55289131	sus_circMYBPC2_1	3.47794606982768	0.77015887038937	21.3001120183513	3.92708549486088e-06	1	0.00630969485713274
6:55302098|55302784	sus_circMYBPC2_25	6.09366824912061	-0.64936727578136	45.9277763624858	1.22693921238623e-11	1	2.32617859154729e-07
6:55302098|55304287	sus_circMYBPC2_27	7.19475100502435	0.350151379664195	61.0984594234767	5.42906064027827e-15	1	5.14653232455819e-10
6:70609103|70612317	sus_circKIF1B_55	3.22002182800677	-1.1135752709148	18.4986037237336	1.70028817266017e-05	1	0.0214907356820658
7:121747710|121751830	sus_circSNORD113-1_7	-3.40820388303972	-2.60173135965358	17.7253542401766	2.5520237227053e-05	-1	0.027583270080169
7:121777786|121786686	sus_circSNORD113-8,SNORD113-9,SNORD113-7,SNORD114-1_1	-3.57677225639554	-2.92651364259835	18.2517410695101	1.93548955352851e-05	-1	0.0232248946476315
8:111823361|111839842	sus_circENPEP_16	-4.12300250719524	-2.00311845619529	25.6548769208354	4.08262405176461e-07	-1	0.00133453941245199
8:130298196|130299054	sus_circFAM13A_26	-4.13912630401186	-3.19073778294378	21.5285900942002	3.48592702742388e-06	-1	0.00624381242287702
AEMK02000682.1:264782|274132	sus_circEHMT1_12	4.45725211490454	-3.23967321341547	24.6728068171182	6.79360066772889e-07	1	0.00201251927780634
