circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	W300_1SF	W300_2SF	W300_3SF	W300_1PF	W300_2PF	W300_3PF	Z300_1SF	Z300_3SF	Z300_1PF	Z300_2PF	Z300_3PF
sus_circ8:85769729|85774255	8:85769729|85774255	1.86824366765246	4.51792848796443	1.28816681863709	3.507254202328	0.000452756414134795	0.0432548018089266	5.55107955155621	6.97750912503523	3.03229523895216	2.53769052597446	0	2.45210590265906	0	0	0	0	0
sus_circACACA_110	12:38796303|38800438	95.7181425653894	2.22876998845657	0.486503749327177	4.58119796926315	4.62319934265361e-06	0.00181090718251742	183.185625201355	66.2863366878347	173.851593699924	173.83180102925	28.8071791397927	267.769964570369	30.2825658180665	25.7039919851295	64.5552633825881	12.0404117445074	26.5848349604663
sus_circCCDC81,HIKESHI_43	9:20275561|20278374	4.0732432341913	5.64850386815012	1.230444292222	4.59062137461727	4.41928376285396e-06	0.00181090718251742	15.2654687667796	6.97750912503523	15.1614761947608	0	1.51616732314699	5.88505416638174	0	0	0	0	0
sus_circCOG3_34	11:21789455|21805764	7.63845426889731	4.26447129803366	0.985973459053351	4.32513802362191	1.52436387489447e-05	0.00497577774830137	1.38776988788905	12.7921000625646	19.2045365133637	7.61307157792337	33.3556811092337	6.86589652744536	2.8039412794506	0	0	0	0
sus_circCOG3_39	11:21791604|21805764	3.09968040206675	4.01030357603479	1.09878976176045	3.64974603477337	0.000262499709754226	0.0313770562207099	5.55107955155621	10.4662636875528	5.0538253982536	2.53769052597446	6.06466929258795	2.94252708319087	0	0.571199821891766	0.909229061726593	0	0
sus_circCPED1_10	18:25791450|25809926	17.3125165420555	1.62540250470719	0.467256806993231	3.47860636887573	0.000504028359131424	0.0438728685048398	37.4697869730044	25.5842001251292	18.193771433713	26.6457505227318	21.2263425240578	22.0689531239315	16.8236476767036	3.99839875324236	11.8199778024457	3.28374865759294	3.32310437005829
sus_circDCAF6_2	4:82918471|82923165	6.9515652104558	3.61539998225478	0.783661035358168	4.6134742179728	3.9599340402978e-06	0.00181090718251742	6.93884943944526	15.1179364375763	12.1291809558086	15.2261431558467	12.1293385851759	9.80842361063623	0	0.571199821891766	4.54614530863296	0	0
sus_circENSSSCG00000007203_1	17:34722015|34724622	2.75429812260418	4.50817482803764	1.28276167189643	3.51442900642078	0.000440700452355695	0.0432548018089266	11.1021591031124	0	2.02153015930144	3.80653578896169	1.51616732314699	11.2796871522317	0	0.571199821891766	0	0	0
sus_circENSSSCG00000011237_32	13:19630228|19633159	3.48324145485435	5.40901246870037	1.10715138130376	4.88552203433179	1.03155168184747e-06	0.000808117587559306	4.16330966366715	9.30334550004697	3.03229523895216	6.34422631493614	9.09700393888192	6.37547534691355	0	0	0	0	0
sus_circENSSSCG00000012693_6	X:110890003|110963021	6.03231070439472	4.61123013661472	1.07937969242722	4.27211125887071	1.9363091849796e-05	0.00541751648397507	0	9.30334550004697	19.2045365133637	17.7638336818212	7.58083661573493	10.7892659716999	0	1.7135994656753	0	0	0
sus_circENSSSCG00000014996_2	9:35157458|35158313	2.19353287188532	4.11222119895136	1.19768869610838	3.4334641483326	0.0005959210069456	0.0490212137582021	5.55107955155621	6.97750912503523	1.01076507965072	2.53769052597446	4.54850196944096	2.94252708319087	0.560788255890121	0	0	0	0
sus_circENSSSCG00000017608_5	12:32060088|32067455	41.8910200777102	1.37520526657026	0.394294753999481	3.48775948100001	0.00048708603144337	0.0438728685048398	66.6129546186745	54.6571548127759	40.4306031860288	57.0980368344253	60.6466929258795	70.6206499965809	28.039412794506	37.1279884229648	9.09229061726593	6.56749731518588	29.9079393305246
sus_circENSSSCG00000046743_7	11:9894098|9897074	2.26536823576164	4.78728985454732	1.16256514229094	4.11786804919467	3.82393524659871e-05	0.00881079668289832	4.16330966366715	4.65167275002348	5.0538253982536	5.07538105194892	3.03233464629397	2.94252708319087	0	0	0	0	0
sus_circENSSSCG00000047585_1	13:46309205|46309653	3.16678210731657	5.26294113868327	1.17853138994127	4.465677523401	7.98157571427246e-06	0.0028421665520732	5.55107955155621	11.6291818750587	9.09688571685648	2.53769052597446	4.54850196944096	1.47126354159544	0	0	0	0	0
sus_circFAN1_16	1:143941637|143956550	1.74047067596492	4.43117953238168	1.25678481460345	3.52580607347633	0.000422196001670803	0.0432548018089266	1.38776988788905	1.16291818750587	5.0538253982536	5.07538105194892	3.03233464629397	3.43294826372268	0	0	0	0	0
sus_circKCTD9_13	14:9478895|9498411	44.2865607623115	1.31281132465634	0.369617509824214	3.55181042500043	0.000382590400599119	0.0428173314041928	41.6330966366715	118.617655125599	58.6243746197418	43.1407389415658	71.2598641879084	32.8582190956314	28.039412794506	30.8447903821554	23.6399556048914	22.9862406031506	15.5078203936053
sus_circLYST_79	14:55594527|55599982	2.12266475773743	4.6751063060127	1.26321583058986	3.70095607797256	0.000214788655921593	0.0280442388414959	5.55107955155621	4.65167275002348	6.06459047790432	5.07538105194892	1.51616732314699	0.490421180531812	0	0	0	0	0
sus_circMADD,NR1H3_14	2:15322375|15323114	39.888680796878	1.31891767797385	0.316561807462883	4.16638282597781	3.0947084319204e-05	0.00757623307989514	45.7964063003387	47.6796456877407	48.5167238232346	81.2060968311826	57.6143582795855	47.0804333310539	14.5804946531431	18.2783943005365	26.3676427900712	33.9320694617937	17.7232233069775
