circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M300_1SF	M300_2SF	M300_3SF	M300_1PF	M300_2PF	M300_3PF	Y300_1SF	Y300_2SF	Y300_3SF	Y300_1PF	Y300_2PF	Y300_3PF
sus_circ16:18249647|18258513	16:18249647|18258513	8.43273164911535	2.86688234097485	0.638491470439464	4.49008714086912	7.11940418203076e-06	0.00127579722941991	6.76125204493021	34.3158533230718	8.75572595346889	16.5625659147412	13.2961815591952	10.13271284368	0.669072894320013	0	1.95094506538737	4.3304359163878	0.652577141313073	3.76545713288867
sus_circ7:78055271|78056399	7:78055271|78056399	34.244937738662	1.30817664207049	0.360362716691697	3.63016644474261	0.000283238514315414	0.0195216699097393	37.669832821754	42.8948166538398	48.7819017407552	47.1396106804172	27.8011068964991	88.8560972445783	26.0938428784805	11.7930930783978	29.2641759808105	24.5391368595309	9.7886571196961	16.3169809091842
sus_circABCB7_16	X:60240445|60257143	3.02310098534284	3.33932210900051	0.948037506954853	3.52235231676286	0.000427735284594248	0.0266830791154102	2.89767944782723	3.81287259145243	11.2573619401743	3.8221305957095	8.46120644676061	3.11775779805538	0	0	0.975472532693683	0	1.30515428262615	0.627576188814778
sus_circAIFM2_9	14:73064383|73065278	1.69067684652216	3.87153440337676	1.17953250518611	3.28226173196126	0.001029779730331	0.047724964053961	3.86357259710298	4.76609073931553	5.00327197341079	1.27404353190317	3.62623133432597	0.779439449513845	0	0	0.975472532693683	0	0	0
sus_circAPBB2_9	8:31993513|32031054	5.18425302586638	2.74715308466758	0.841340546651317	3.2652094275044	0.00109383169400241	0.0490853106207336	0	21.9240174008514	8.75572595346889	5.09617412761267	9.66995022486926	9.35327339416614	0.669072894320013	0	0.975472532693683	0.721739319397967	0.652577141313073	4.39303332170345
sus_circASCC3_66	1:67576479|67584208	7.15347381023764	1.68302928978046	0.507894384354291	3.31373872526701	0.000920574847863835	0.0466887771897734	11.5907177913089	9.53218147863106	11.2573619401743	7.644261191419	10.8786940029779	14.8093495407631	6.02165604888011	1.9655155130663	3.90189013077473	5.05217523578577	1.30515428262615	1.88272856644433
sus_circATRX_49	X:61688015|61702090	8.53848244599214	1.81791937697275	0.511083858741387	3.55698843913721	0.000375130658270733	0.0244308617762988	15.4542903884119	5.71930888717864	7.50490796011619	24.2068271061602	13.2961815591952	12.4710311922215	4.68351026024009	7.86206205226521	1.95094506538737	2.88695727759187	3.91546284787844	2.51030475525911
sus_circBRD4_9	2:62312200|62313757	8.0764716942166	2.36043126765969	0.55392016939332	4.26132030946796	2.03222717531914e-05	0.00273131332362892	11.5907177913089	9.53218147863106	23.7655418737013	11.4663917871285	7.25246266865195	16.3682284397907	4.01443736592008	5.8965465391989	0.975472532693683	2.1652179581939	3.26288570656537	0.627576188814778
sus_circCDK19_37	1:76723120|76750287	27.4236657188866	1.87169878660003	0.567049786281463	3.30076623231631	0.000964211843662586	0.0466991249687393	16.4201835376876	40.9883803581136	41.276993780639	45.865567148514	26.5923631183905	88.0766577950645	6.02165604888011	9.82757756533151	0	12.2695684297654	8.48350283706995	33.2615380071833
sus_circCOG7_21	3:22810516|22822228	8.44556477889023	2.15045863815992	0.51789168560683	4.15233280997774	3.29103177009808e-05	0.00402104245364711	6.76125204493021	22.8772355487146	10.0065439468216	10.1923482552253	12.0874377810866	21.0448651368738	2.00721868296004	1.9655155130663	2.92641759808105	5.05217523578577	3.91546284787844	2.51030475525911
sus_circCTNNA1_2	2:140718298|140720559	1.72288879466901	3.94582864072973	1.17148131385355	3.36823865141311	0.000756500817858889	0.0423204276706545	4.82946574637872	0.953218147863106	3.7524539800581	3.8221305957095	1.20874377810866	5.45607614659691	0	0	0	0	0.652577141313073	0
sus_circCYTH3_4	3:4974527|4985274	16.3403600735514	2.14901385513725	0.399841916577525	5.37465874896729	7.67278574708675e-08	3.09144548671261e-05	38.6357259710298	34.3158533230718	23.7655418737013	21.6587400423538	25.3836193402818	16.3682284397907	8.02887473184015	3.9310310261326	10.7301978596305	4.3304359163878	3.91546284787844	5.02060951051823
sus_circDCN_6	5:91713772|91713922	4.30197975253466	3.89826141069081	1.12375257364719	3.46896772662227	0.000522462211809605	0.0312084094520938	5.79535889565446	0	10.0065439468216	20.3846965104507	2.41748755621732	10.13271284368	0	0	0	2.88695727759187	0	0
sus_circECPAS_45	1:252271582|252280307	20.029889891274	1.47107327448972	0.344340275361189	4.27214990447069	1.93597355235386e-05	0.00273131332362892	32.8403670753753	36.222289618798	32.5212678271702	29.3030012337728	18.1311566716299	28.0598201824984	8.02887473184015	5.8965465391989	19.5094506538737	8.66087183277561	12.3989656849484	8.7860666434069
sus_circEDC3_13	7:58868185|58868520	10.2246653953986	1.60357949483882	0.456829587945214	3.51023562648733	0.000447709768606851	0.0273509967730731	25.1132218811693	16.2047085136728	18.7622699002905	12.7404353190317	13.2961815591952	7.79439449513845	7.35980183752014	0	6.82830772885578	4.3304359163878	5.87319427181766	4.39303332170345
sus_circENSSSCG00000009338_29	11:8630432|8640553	1.34504219948779	4.11641797338428	1.24951076849612	3.29442376742276	0.000986236918336937	0.0469204395838882	1.93178629855149	5.71930888717864	1.2508179933527	1.27404353190317	3.62623133432597	2.33831834854153	0	0	0	0	0	0
